id,permission,role_id,resource_id,inserted_at,updated_at
b640adbb-75a3-47a4-b3b3-77ef718d2aa8,4,admin,users,2018-08-02 11:54:27.000000,2018-08-02 11:54:27.000000
b640adbb-75a4-47a5-b3b4-77ef718d2aa9,4,admin,comments,2018-08-02 11:54:37.000000,2018-08-02 11:54:37.000000
b640adbb-75a7-47a6-b3b5-77ef718d2a10,4,admin,roles,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-75a8-47a7-b3b6-77ef718d2a11,4,admin,permissions,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-75a9-47a8-b3b7-77ef718d2a12,4,admin,user-roles,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-76a9-47a9-b3b8-77ef718d2a13,4,admin,resources,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78a9-49a9-b4b9-77ef718d2a15,4,admin,replies,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a16,4,admin,posts,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a17,2,admin,timeline,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a18,2,admin,nearby-users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-79b9-49b9-b4c9-77ef718d2a19,1,admin,posts-search,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a20,4,admin,user-profile,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a24,2,admin,invite-user,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a25,3,admin,update-status,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a26,4,admin,faqs,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a28,1,admin,logout,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a21,1,guest,posts,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a22,1,guest,users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a23,2,guest,nearby-users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a27,1,user,faqs,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a30,4,user,comments,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a31,4,user,users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a40,4,user,replies,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a39,4,user,posts,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a32,2,user,timeline,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a33,2,user,nearby-users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-79b9-49b9-b4c9-77ef718d2a34,1,user,posts-search,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a35,3,user,user-profile,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a36,2,user,invite-user,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a38,1,user,logout,2018-08-02 11:54:44.000000,2018-08-02 11:54:00.000000
74cf8e8e-9854-11ec-a84d-0a302c15caa0,1,user,reward-offers,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a42,1,admin,total-reward-points,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a43,3,admin,friend,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a44,3,user,friend,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a45,4,admin,post-types,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a46,3,user,post-types,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a47,4,admin,redeem-reward,2018-08-02 11:54:27.000000,2018-08-02 11:54:27.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a48,1,user,redeem-reward,2018-08-02 11:54:27.000000,2018-08-02 11:54:27.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a67,3,admin,user-profile-update,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a68,3,user,user-profile-update,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-75a4-47a5-b3b4-77ef718d2a71,4,admin,add-user-image,2018-08-02 11:54:37.000000,2018-08-02 11:54:37.000000
b640adbb-75a4-47a5-b3b4-77ef718d2a72,4,user,add-user-image,2018-08-02 11:54:37.000000,2018-08-02 11:54:37.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a69,4,admin,interests,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a74,3,user,interests,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a70,4,admin,user-interests,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a75,3,user,user-interests,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a88,4,admin,user-city,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a89,4,user,user-city,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a90,3,admin,complete-signup,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a91,3,user,complete-signup,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a92,4,admin,user-events,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a93,4,user,user-events,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a97,3,admin,verify-user-image,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a98,3,user,verify-user-image,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a94,4,admin,user-events-attendees,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a95,1,user,user-events-attendees,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a96,4,admin,user-events-add-attendee,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a99,4,user,user-events-add-attendee,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b10,4,admin,personal-user-events,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b11,4,user,personal-user-events,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a09,4,admin,start-user-chat,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2a08,4,user,start-user-chat,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b12,1,admin,user-chats,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b13,1,user,user-chats,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b14,4,admin,interest-topics,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b15,4,user,interest-topics,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b16,4,admin,sync-contacts,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b17,4,user,sync-contacts,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b18,4,admin,add-interest-users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b19,4,user,add-interest-users,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b21,4,admin,like,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b22,4,user,like,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b23,4,admin,add-jetpoints,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
b640adbb-78b9-49b9-b4c9-77ef718d2b24,4,user,add-jetpoints,2018-08-02 11:54:44.000000,2018-08-02 11:54:44.000000
